date,publisher,candidate,sentiment
2020-03-01,NewYorkTimes,trump,0.011237373737373737
2020-03-02,Buzzfeed,biden,0.051984126984127015
2020-03-02,Buzzfeed,buttigieg,-0.04149659863945577
2020-03-02,Buzzfeed,klobuchar,0.05663780663780666
2020-03-02,Buzzfeed,sanders,0.11342279942279943
2020-03-02,Buzzfeed,trump,0.05541786098758885
2020-03-02,Buzzfeed,warren,0.23020833333333335
2020-03-02,NewYorkTimes,klobuchar,0.0719696969696969
2020-03-02,NewYorkTimes,trump,-0.002808790671693866
2020-03-03,Buzzfeed,,0.027559523809523805
2020-03-03,Buzzfeed,biden,0.11134295047985523
2020-03-03,Buzzfeed,bloomberg,0.0757738095238095
2020-03-03,Buzzfeed,buttigieg,0.18263888888888885
2020-03-03,Buzzfeed,klobuchar,0.010999606454151913
2020-03-03,Buzzfeed,sanders,0.22625921201814028
2020-03-03,Buzzfeed,steyer,0.22500000000000003
2020-03-03,Buzzfeed,trump,0.14610389610389604
2020-03-03,Buzzfeed,warren,0.08447951273532664
2020-03-03,Buzzfeed,yang,0.08028030303030306
2020-03-04,Buzzfeed,,0.29999999999999993
2020-03-04,Buzzfeed,biden,0.10773473148473156
2020-03-04,Buzzfeed,bloomberg,0.1316269841269841
2020-03-04,Buzzfeed,buttigieg,0.0
2020-03-04,Buzzfeed,klobuchar,0.3686079545454546
2020-03-04,Buzzfeed,sanders,0.05674603174603175
2020-03-04,Buzzfeed,trump,0.10032312925170075
2020-03-04,Buzzfeed,warren,0.33333333333333337
2020-03-04,Fox,biden,0.08678030303030305
2020-03-04,Fox,bloomberg,0.04937499999999999
2020-03-04,Fox,sanders,0.15260582010582016
2020-03-04,Fox,trump,0.1638888888888889
2020-03-04,Fox,warren,0.14583333333333334
2020-03-05,Buzzfeed,biden,0.1657407407407407
2020-03-05,Buzzfeed,gabbard,0.0
2020-03-05,Buzzfeed,sanders,0.06047773654916513
2020-03-05,Buzzfeed,trump,0.14
2020-03-05,Buzzfeed,warren,0.051961233211233256
2020-03-05,Buzzfeed,yang,0.1803111471861472
2020-03-05,Fox,,0.39999999999999997
2020-03-05,Fox,biden,0.0037037037037037
2020-03-05,Fox,warren,0.06017361111111112
2020-03-06,AP,biden,0.1551661573720398
2020-03-06,AP,bloomberg,0.014814814814814812
2020-03-06,AP,buttigieg,-0.06125000000000002
2020-03-06,AP,gabbard,0.0
2020-03-06,AP,klobuchar,0.05920634920634921
2020-03-06,AP,sanders,0.0
2020-03-06,AP,trump,0.11630787037037038
2020-03-06,AP,warren,0.06818181818181818
2020-03-06,Breitbart,biden,0.034788359788359785
2020-03-06,Breitbart,buttigieg,0.2
2020-03-06,Breitbart,gabbard,0.11414141414141414
2020-03-06,Breitbart,sanders,0.13928571428571426
2020-03-06,Breitbart,trump,0.09930784179240972
2020-03-06,Breitbart,warren,0.059722222222222225
